,id,Lat,Lon,Name,Adress,Phone,nsel,estado,ciudad
41,138,19.389157,-99.038423,JuanEscutia,"CoronelLinoMerino624,JuanEscutia,09100,Iztapalapa",62850421,51,CDMX,Chimalhuacán
42,139,19.323121,-99.048721,Minas,"PlayaCondesa1,LaPolvorilla,09750,Iztapalapa",62850421,52,CDMX,Chimalhuacán
43,140,19.317044,-99.07415,SanLorenzo,Tl&#225,NaN,53,CDMX,Chimalhuacán
44,146,19.271002,-99.005366,Tl&#225,Tl&#225,NaN,54,CDMX,Chimalhuacán
45,213,19.3633,-99.004593,Sta.MarthaAcatitla,"Calz.IgnacioZaragoza3013,Sta.MarthaAcatitla,09510,Iztapalapa",62850456,55,CDMX,Chimalhuacán
46,214,19.354399,-99.075013,Pur&#237,"Calz.IgnacioZaragoza3013,Sta.MarthaAcatitla,09510,Iztapalapa",NaN,56,CDMX,Chimalhuacán
47,141,19.437907,-99.201125,Moliere,"Moliere352,Polanco,11550,MiguelHidalgo",62850451,58,CDMX,Coacalco
48,143,19.442693,-99.192258,LagoAlberto,R&#237,NaN,59,CDMX,Coacalco
49,144,19.29241,-99.036619,Zapotitl&#225,R&#237,NaN,61,CDMX,CuaititlánIzcalli
50,145,19.286658,-99.059847,DelMar,Tibur&#243,NaN,62,CDMX,CuaititlánIzcalli
51,147,19.29564,-99.054547,Nopalera,"GallodeOro182,Nopalera,13220,Tl&#225",NaN,63,CDMX,CuaititlánIzcalli
52,224,19.270834,-99.004594,Tl&#225,"GallodeOro182,Nopalera,13220,Tl&#225",NaN,64,CDMX,CuaititlánIzcalli
